branch,geometry,xc,pseudopotentials,contribution,i,j,k,raw_value_Ry_au,qe_definition
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,x,57.77631274,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,y,-57.776312754,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,z,19.254309586,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,y,19.254309586,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,z,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,x,19.254309589,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,y,19.254309586,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,z,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,y,3e-09,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA-relaxed@k6,"C3_vcrelax final geometry, k=6x6x6 (vs production 4x4x4)",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,z,17.06098691,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
